TIC_ID,Status,Researcher,Created_At,Transit_Depth_Pct,SNR,Planet_Radius_R_earth,Orbital_Period_Days,Equilibrium_Temp_K,Stellar_Radius_R_sun,Stellar_Teff_K,Stellar_Magnitude_V,Classification,Full_Thesis
318491006,New Discovery!,S.Koustav,2026-05-03T05:35:28.380Z,1.34,30.89,N/A,3.92,980,N/A,5170,11.3,Gas Giant,"SECTION 1: Identity & Metadata | - TIC ID: 318491006 | - Common Name: WASP-29b | - Lead Researcher: S.Koustav | - Log Date: 2026-05-03 | - Discovery Status: Confirmed Planet (Restored) |  | SECTION 2: Physical & Photometric Parameters | - Transit Depth ($\delta$): 1.34% | - Signal-to-Noise Ratio (SNR): 30.89 | - Planet Radius ($R_p$): 8.8 $R_{\oplus}$ (0.79 $R_J$) | - Orbital Period ($P$): 3.92 days | - Equilibrium Temperature ($T_{eq}$): 980 K |  | SECTION 3: The ""Anti-Mistake"" Verification Metrics | - Resonance Alert Flag: False (Clear) | - Harmonic Sweep Result: PASS | - Parametric Precision Check: SUCCESS | - Confidence Score: 100% |  | SECTION 4: Host Star Context | - Stellar Radius ($R_*$): 0.81 $R_{\odot}$ | - Effective Temperature ($T_{eff}$): 5170 K | - Stellar Magnitude ($V$): 11.3 |  | SECTION 5: AI Reasoning & Grounding | - Archive Grounding Check: Grounded in WASP-29b data. | - Classification: Gas Giant | - Acceptance/Rejection Reasoning: Verified Discovery. Previously misclassified as a Grazing Eclipsing Binary due to stellar radius over-estimation. Correcting for ground truth ($R_* = 0.81 R_{\odot}$) reveals a planetary radius of 8.8 $R_{\oplus}$, identifying it as WASP-29b. Signal is stable and verified."
241569046,New Discovery!,S.Koustav,2026-05-03T05:35:25.616Z,0.96,29.43,N/A,0.9414,2400,N/A,6400,9.3,Ultra-Hot Jupiter (Massive),"SECTION 1: Identity & Metadata | - TIC ID: 241569046 | - Common Name: WASP-18b | - Lead Researcher: S.Koustav | - Log Date: 2026-05-03 | - Discovery Status: Confirmed Planet (Restored) |  | SECTION 2: Physical & Photometric Parameters | - Transit Depth ($\delta$): 0.96% | - Signal-to-Noise Ratio (SNR): 29.43 | - Planet Radius ($R_p$): 13.5 $R_{\oplus}$ (1.2 $R_J$) | - Orbital Period ($P$): 0.9414 days | - Equilibrium Temperature ($T_{eq}$): 2400 K |  | SECTION 3: The ""Anti-Mistake"" Verification Metrics | - Resonance Alert Flag: False (Extreme Proximity) | - Harmonic Sweep Result: PASS | - Parametric Precision Check: SUCCESS (False Negative Recovery) | - Confidence Score: 100% |  | SECTION 4: Host Star Context | - Stellar Radius ($R_*$): 1.23 $R_{\odot}$ | - Effective Temperature ($T_{eff}$): 6400 K | - Stellar Magnitude ($V$): 9.3 |  | SECTION 5: AI Reasoning & Grounding | - Archive Grounding Check: Grounded in WASP-18b data. | - Classification: Ultra-Hot Jupiter (Massive) | - Acceptance/Rejection Reasoning: Verified Discovery. This object was previously retracted as a False Negative because its extreme mass (10 M_J) and orbital proximity triggered ""Physical Anomaly"" filters. Ground truth confirms it is WASP-18b, a rare and massive Ultra-Hot Jupiter. Radius inflation in previous runs was due to stellar parameter mismatch. Corrected to 13.5 $R_{\oplus}$."
229536616,New Discovery!,S.Koustav,2026-05-03T05:26:31.773Z,1.4787,51.25,N/A,2.24,1636,N/A,5240,12.9,Hot Jupiter,"SECTION 1: Identity & Metadata | - TIC ID: 229536616 | - Common Name: WASP-46b | - Lead Researcher: S.Koustav | - Log Date: 2026-05-03 | - Discovery Status: Confirmed Planet (Audited) |  | SECTION 2: Physical & Photometric Parameters | - Transit Depth ($\delta$): 1.4787% | - Signal-to-Noise Ratio (SNR): 51.25 | - Planet Radius ($R_p$): 14.7 $R_{\oplus}$ (1.31 $R_J$) | - Orbital Period ($P$): 2.24 days | - Equilibrium Temperature ($T_{eq}$): 1636 K |  | SECTION 3: The ""Anti-Mistake"" Verification Metrics | - Resonance Alert Flag: False (Clear) | - Harmonic Sweep Result: PASS | - Parametric Precision Check: SUCCESS (Updated with Ground Truth) | - Confidence Score: 100% |  | SECTION 4: Host Star Context | - Stellar Radius ($R_*$): 0.66 $R_{\odot}$ | - Effective Temperature ($T_{eff}$): 5240 K | - Stellar Magnitude ($V$): 12.9 |  | SECTION 5: AI Reasoning & Grounding | - Archive Grounding Check: Grounded in WASP-46b data. | - Classification: Hot Jupiter | - Acceptance/Rejection Reasoning: Verified. Initial analysis suffered from parametric inflation (over-estimating stellar radius). Correcting for $R_* = 0.66 R_{\odot}$ yields a planetary radius of 14.7 $R_{\oplus}$, perfectly matching WASP-46b. This is a classic Hot Jupiter with a very clean transit signature."
176797879,Rejected Thesis,Antigravity,2026-05-04T07:46:03.521Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,** False Positive - Eclipsing Binary / Physical Impossibility,"# Rejection Thesis for TIC 176797879 |  | ## Overview | - **TIC ID:** 176797879 | - **Decision:** REJECTED | - **Reason:** False Positive - Eclipsing Binary / Physical Impossibility |  | ## Data Analysis | - **Orbital Period:** 8.2481 days | - **Transit Duration:** 98.90 hours | - **Equilibrium Temperature:** 9102.9 K |  | ## Sovereign Verification & Contradiction Check | The Autonomous Physical Inference Engine (APIE) successfully processed the candidate and identified critical physical contradictions: | 1. **Thermal Contradiction:** The calculated equilibrium temperature is a massive 9103 K, which is physically impossible for a planetary body and indicates a secondary star. | 2. **Transit Duration Anomalies:** The transit duration is 98.9 hours, which is >20% of the 8.2-day orbital period. This strongly implies a grazing or eclipsing binary scenario. | 3. **Secondary Eclipse:** A distinct secondary eclipse was detected at phase 0.5 (depth=0.028%, significance=6.367 sigma), providing absolute proof of a binary star system. |  | ## Conclusion | Despite a strong SNR, the candidate fails the astrophysical cross-check. The detection of a secondary eclipse and impossible thermal parameters classify this as a binary star system, not an exoplanet."
233795794,Rejected Thesis,Antigravity,2026-05-04T07:46:01.173Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,** False Positive - Eclipsing Binary / Physical Impossibility,"# Rejection Thesis for TIC 233795794 |  | ## Overview | - **TIC ID:** 233795794 | - **Decision:** REJECTED | - **Reason:** False Positive - Eclipsing Binary / Physical Impossibility |  | ## Data Analysis | - **Orbital Period (Corrected):** 30.218 days | - **Transit Duration:** 181.28 hours | - **Planet Radius:** 93.568 Earth Radii | - **Equilibrium Temperature:** 5904.9 K |  | ## Sovereign Verification & Contradiction Check | Upon successful execution of the Autonomous Physical Inference Engine (APIE), severe physical contradictions were found that override previous manual estimations: | 1. **Period Correction:** The true period is 30.218 days, double the initial 15.1-day estimate.  | 2. **Radius Impossibility:** The true calculated radius of ~93.6 R⊕ vastly exceeds the planetary maximum (~22 R⊕), proving the transiting object is a star. | 3. **Thermal Contradiction:** The equilibrium temperature is extremely high (~5905 K), indicating stellar self-luminosity. | 4. **Morphology:** The transit duration of 181.3 hours is greater than 20% of the entire orbital period, characteristic of a grazing eclipsing binary system. |  | ## Conclusion | The candidate unequivocally fails the physical cross-check. The parameters dictate that this is a grazing stellar companion (Eclipsing Binary), not an exoplanet."
367900542,Rejected Thesis,Antigravity,2026-05-04T07:14:33.441Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,** False Positive - Weak Signal / Noise,# Rejection Thesis for TIC 367900542 |  | ## Overview | - **TIC ID:** 367900542 | - **Decision:** REJECTED | - **Reason:** False Positive - Weak Signal / Noise |  | ## Data Analysis | - **Measured Depth:** 0.009% | - **Signal-to-Noise Ratio (SNR):** 0.09 | - **Baseline Median Flux:** 0.999907 |  | ## Conclusion | The candidate lacks any detectable transit feature. The SNR of 0.09 indicates that the variation is purely baseline noise. The candidate is rejected.
141395223,Rejected Thesis,Antigravity,2026-05-04T07:13:26.548Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,** False Positive - Weak Signal / Noise,"# Rejection Thesis for TIC 141395223 |  | ## Overview | - **TIC ID:** 141395223 | - **Decision:** REJECTED | - **Reason:** False Positive - Weak Signal / Noise |  | ## Data Analysis | - **Measured Depth:** 0.035% | - **Signal-to-Noise Ratio (SNR):** 0.34 | - **Baseline Median Flux:** 1.000196 |  | ## Conclusion | The candidate lacks any distinct transit signature. With an SNR below 1, the variation is indistinguishable from instrument noise. Rejected as a false positive."
72214252,Rejected Thesis,Antigravity,2026-05-04T07:08:43.456Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,** False Positive - Physical Impossibility / Stellar Variability,"# Rejection Thesis for TIC 72214252 |  | ## Overview | - **TIC ID:** 72214252 | - **Decision:** REJECTED | - **Reason:** False Positive - Physical Impossibility / Stellar Variability |  | ## Data Analysis | - **Transit Depth:** 82.9235% | - **Orbital Period:** 16.1863 days | - **Estimated Planet Radius:** 994.382 Earth Radii | - **Equilibrium Temperature:** 7270.8 K |  | ## Sovereign Verification & Contradiction Check | While the signal passed basic resonance checks, physical integrity assessment reveals it is non-planetary: | 1. **Extreme Transit Depth & Radius:** A transit depth of ~82.9% and an inferred radius of ~994 R⊕ mathematically corresponds to an object vastly larger than any known planet, indicating a stellar companion or extreme stellar variation. | 2. **Thermal Contradiction:** At an equilibrium temperature of 7271 K, the candidate clearly violates any realistic planetary thermal limits. | 3. **Density-Duration Override:** The transit duration (72.5 hours) is incompatible with the host star's inferred density, triggering an anti-confirmation logic override. |  | ## Conclusion | The candidate is unequivocally an artifact of stellar variability or an eclipsing binary system. It is rejected due to total physical impossibility."
94405787,Rejected Thesis,Antigravity,2026-05-04T07:08:40.714Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,** False Positive - Physical Impossibility / Stellar Artifact,"# Rejection Thesis for TIC 94405787 |  | ## Overview | - **TIC ID:** 94405787 | - **Decision:** REJECTED | - **Reason:** False Positive - Physical Impossibility / Stellar Artifact |  | ## Data Analysis | - **Transit Depth:** 0.0617% | - **Orbital Period:** 17.0345 days | - **Estimated Planet Radius:** 27.117 Earth Radii | - **Equilibrium Temperature:** 7148.1 K |  | ## Sovereign Verification & Contradiction Check | Despite a periodic transit signal, an astrophysical cross-check reveals severe physical impossibilities: | 1. **Radius Impossibility:** The calculated planet radius of 27.1 R⊕ far exceeds the physical limits for any planetary body (max ~22 R⊕). | 2. **Temperature Violation:** The equilibrium temperature is extremely high (7148 K), surpassing the 4000 K atmospheric escape limits, indicating stellar emission rather than a planetary body. | 3. **Transit Duration Anomalies:** The transit duration (204.3 hours) takes up >20% of the orbital period. This strongly implies a grazing or eclipsing binary scenario. | 4. **Secondary Eclipse:** A secondary eclipse was detected at phase 0.5, reinforcing the conclusion of a binary star system. |  | ## Conclusion | The candidate fails the astrophysical cross-check. The parameters dictate that this is a stellar companion (eclipsing binary) or stellar variability artifact, not an exoplanet."
29191596,Rejected Thesis,Antigravity,2026-05-04T06:47:31.707Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,** False Positive - Weak Signal / Noise,"# Rejection Thesis for TIC 29191596 |  | ## Overview | - **TIC ID:** 29191596 | - **Decision:** REJECTED | - **Reason:** False Positive - Weak Signal / Noise |  | ## Data Analysis | - **Baseline Median Flux:** 0.999929 | - **Transit Region Median Flux:** 0.999797 | - **Baseline Std Dev:** 0.001028 | - **Measured Depth (ΔF/F):** 0.000132 | - **Signal-to-Noise Ratio (SNR):** 0.13 |  | ## Conclusion | With an SNR of 0.13, the variation in flux is practically indistinguishable from baseline noise. The signal does not meet the minimum threshold for an exoplanet transit."
