TIC_ID,Rejection_Reason
94405787,"Stellar Radius Regime: R_p=27.1 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7148K exceeds 4000K — likely stellar variability | Transit duration 204.3h is >20% of orbital period (17.03d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.101%, significance=4.295 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
72214252,Stellar Radius Regime: R_p=994.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7271K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
73723286,"Equilibrium temperature 5368K exceeds 4000K — likely stellar variability | Transit duration 241.3h is >20% of orbital period (40.23d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.022%, significance=4.137 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
73723286,"Equilibrium temperature 5368K exceeds 4000K — likely stellar variability | Transit duration 241.3h is >20% of orbital period (40.23d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.022%, significance=4.137 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
73723286,"Equilibrium temperature 5368K exceeds 4000K — likely stellar variability | Transit duration 241.3h is >20% of orbital period (40.23d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.022%, significance=4.137 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
233795794,Stellar Radius Regime: R_p=93.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 5905K exceeds 4000K — likely stellar variability | Transit duration 181.3h is >20% of orbital period (30.22d) | Grazing or stellar eclipse morphology. | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
233795794,Stellar Radius Regime: R_p=93.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 5905K exceeds 4000K — likely stellar variability | Transit duration 181.3h is >20% of orbital period (30.22d) | Grazing or stellar eclipse morphology. | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
176797879,"Equilibrium temperature 9103K exceeds 4000K — likely stellar variability | Transit duration 98.9h is >20% of orbital period (8.25d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.028%, significance=6.367 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
349095149,Stellar Radius Regime: R_p=448.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 4988K exceeds 4000K — likely stellar variability | Transit duration 20.7h is >20% of orbital period (3.81d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
231839188,Stellar Radius Regime: R_p=571.3 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 5892K exceeds 4000K — likely stellar variability | Transit duration 27.2h is >20% of orbital period (5.31d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
